blocks,threads,run_id,time_ms
1,1024,0,5.26659
1,1024,1,5.24288
1,1024,2,5.40262
1,1024,3,4.98074
1,1024,4,5.11898
1,1024,5,5.01043
1,1024,6,5.33094
1,1024,7,5.49683
1,1024,8,5.36474
1,1024,9,5.15686
1,1024,10,4.92653
1,1024,11,4.89472
1,1024,12,4.89267
1,1024,13,5.28486
1,1024,14,5.14765
1,1024,15,5.07187
1,1024,16,4.77798
1,1024,17,4.7657
1,1024,18,4.72883
1,1024,19,4.75539
1,1024,20,4.69914
1,1024,21,4.94083
1,1024,22,4.79027
1,1024,23,5.85114
1,1024,24,4.73085
1,1024,25,4.8128
1,1024,26,4.7657
1,1024,27,4.74518
1,1024,28,4.76979
1,1024,29,4.74419
1,1024,30,12.0791
1,1024,31,4.75648
1,1024,32,11.0961
1,1024,33,4.85786
1,1024,34,11.0817
1,1024,35,4.79437
1,1024,36,5.11389
1,1024,37,4.82918
1,1024,38,4.8169
1,1024,39,4.84966
1,1024,40,4.76774
1,1024,41,4.77491
1,1024,42,4.75955
1,1024,43,4.75347
1,1024,44,4.7432
1,1024,45,4.76048
1,1024,46,5.0985
1,1024,47,4.93363
1,1024,48,4.74726
1,1024,49,5.46611
1,1024,50,4.67968
1,1024,51,4.77798
1,1024,52,4.76262
1,1024,53,4.69709
1,1024,54,4.72269
1,1024,55,4.72166
1,1024,56,4.86912
1,1024,57,4.87424
1,1024,58,4.9367
1,1024,59,4.95718
1,1024,60,4.85888
1,1024,61,4.78003
1,1024,62,4.75965
1,1024,63,4.7145
1,1024,64,4.72269
1,1024,65,4.70016
1,1024,66,4.80666
1,1024,67,4.95206
1,1024,68,4.97664
1,1024,69,4.84864
1,1024,70,4.75136
1,1024,71,4.66125
1,1024,72,4.67149
1,1024,73,4.66022
1,1024,74,4.78618
1,1024,75,4.71654
1,1024,76,4.8087
1,1024,77,4.7104
1,1024,78,4.70016
1,1024,79,4.73907
1,1024,80,4.68173
1,1024,81,4.67456
1,1024,82,4.6377
1,1024,83,4.7616
1,1024,84,4.90192
1,1024,85,4.69197
1,1024,86,4.92653
1,1024,87,4.69606
1,1024,88,4.67968
1,1024,89,4.71962
1,1024,90,4.70835
1,1024,91,4.73088
1,1024,92,4.98074
1,1024,93,4.89776
1,1024,94,4.80051
1,1024,95,4.78003
1,1024,96,4.73395
1,1024,97,4.71347
1,1024,98,4.74726
1,1024,99,5.91872
1,33,0,108.401
1,33,1,108.355
1,33,2,108.387
1,33,3,108.35
1,33,4,108.459
1,33,5,108.346
1,33,6,108.585
1,33,7,108.592
1,33,8,108.434
1,33,9,108.44
1,33,10,108.909
1,33,11,108.708
1,33,12,108.539
1,33,13,108.517
1,33,14,108.386
1,33,15,108.468
1,33,16,108.428
1,33,17,108.423
1,33,18,108.453
1,33,19,108.365
1,33,20,108.371
1,33,21,108.384
1,33,22,108.485
1,33,23,108.417
1,33,24,108.409
1,33,25,108.447
1,33,26,108.423
1,33,27,108.413
1,33,28,108.473
1,33,29,108.404
1,33,30,108.462
1,33,31,109.636
1,33,32,108.397
1,33,33,108.397
1,33,34,108.443
1,33,35,108.515
1,33,36,108.424
1,33,37,108.413
1,33,38,108.364
1,33,39,108.345
1,33,40,108.408
1,33,41,108.338
1,33,42,108.404
1,33,43,108.349
1,33,44,108.594
1,33,45,108.465
1,33,46,108.42
1,33,47,108.454
1,33,48,108.526
1,33,49,108.539
1,33,50,108.452
1,33,51,108.383
1,33,52,108.652
1,33,53,108.36
1,33,54,108.494
1,33,55,108.385
1,33,56,108.444
1,33,57,108.339
1,33,58,109.393
1,33,59,108.515
1,33,60,108.482
1,33,61,108.488
1,33,62,108.433
1,33,63,108.504
1,33,64,108.44
1,33,65,108.615
1,33,66,108.638
1,33,67,108.363
1,33,68,108.485
1,33,69,108.483
1,33,70,108.376
1,33,71,108.389
1,33,72,108.444
1,33,73,108.413
1,33,74,108.373
1,33,75,108.433
1,33,76,108.495
1,33,77,108.434
1,33,78,108.493
1,33,79,108.396
1,33,80,108.867
1,33,81,108.506
1,33,82,108.436
1,33,83,108.381
1,33,84,108.421
1,33,85,108.443
1,33,86,108.413
1,33,87,108.441
1,33,88,108.464
1,33,89,108.383
1,33,90,108.687
1,33,91,108.425
1,33,92,108.429
1,33,93,108.79
1,33,94,109.377
1,33,95,109.344
1,33,96,117.087
1,33,97,109.313
1,33,98,109.351
1,33,99,109.281
1,64,0,56.4504
1,64,1,56.448
1,64,2,56.5268
1,64,3,56.493
1,64,4,56.3661
1,64,5,56.45
1,64,6,56.3773
1,64,7,56.4531
1,64,8,56.5975
1,64,9,56.4644
1,64,10,57.9
1,64,11,63.3825
1,64,12,56.4326
1,64,13,61.44
1,64,14,56.4777
1,64,15,56.4552
1,64,16,56.4952
1,64,17,56.4347
1,64,18,56.4511
1,64,19,56.4265
1,64,20,56.447
1,64,21,56.4122
1,64,22,64.7752
1,64,23,56.4532
1,64,24,56.8975
1,64,25,56.4357
1,64,26,56.4654
1,64,27,57.6236
1,64,28,56.5391
1,64,29,56.5678
1,64,30,56.4224
1,64,31,56.6497
1,64,32,58.5728
1,64,33,64.1085
1,64,34,56.4204
1,64,35,56.8381
1,64,36,56.5084
1,64,37,56.4675
1,64,38,56.448
1,64,39,56.4214
1,64,40,56.4869
1,64,41,56.4173
1,64,42,56.4132
1,64,43,56.8381
1,64,44,56.6968
1,64,45,56.49
1,64,46,56.4828
1,64,47,56.3825
1,64,48,56.9416
1,64,49,56.6344
1,64,50,56.7521
1,64,51,56.4664
1,64,52,56.5412
1,64,53,56.5545
1,64,54,56.9108
1,64,55,58.0321
1,64,56,57.2365
1,64,57,56.7695
1,64,58,56.7747
1,64,59,56.535
1,64,60,56.4593
1,64,61,57.3962
1,64,62,56.4552
1,64,63,56.4397
1,64,64,67.2911
1,64,65,56.6835
1,64,66,56.5371
1,64,67,56.5361
1,64,68,56.6467
1,64,69,56.533
1,64,70,56.8187
1,64,71,61.7298
1,64,72,56.4931
1,64,73,56.4726
1,64,74,56.4818
1,64,75,56.4593
1,64,76,56.4716
1,64,77,56.4807
1,64,78,56.3927
1,64,79,56.6036
1,64,80,56.491
1,64,81,56.3896
1,64,82,56.6968
1,64,83,57.2457
1,64,84,57.0583
1,64,85,56.4531
1,64,86,56.3968
1,64,87,56.5207
1,64,88,56.5084
1,64,89,56.5105
1,64,90,56.7419
1,64,91,56.5709
1,64,92,57.5263
1,64,93,56.7521
1,64,94,56.7613
1,64,95,56.9283
1,64,96,56.4521
1,64,97,56.5074
1,64,98,56.5873
1,64,99,56.8003
1,128,0,28.238
1,128,1,27.7596
1,128,2,32.7537
1,128,3,29.1185
1,128,4,27.8344
1,128,5,27.8354
1,128,6,29.0273
1,128,7,27.6675
1,128,8,28.4498
1,128,9,27.6296
1,128,10,28.2491
1,128,11,27.947
1,128,12,27.6265
1,128,13,27.7801
1,128,14,27.6951
1,128,15,34.0347
1,128,16,31.828
1,128,17,27.6019
1,128,18,27.6111
1,128,19,27.6593
1,128,20,27.7862
1,128,21,27.7484
1,128,22,27.7125
1,128,23,27.7955
1,128,24,29.0683
1,128,25,27.6408
1,128,26,27.6593
1,128,27,27.7218
1,128,28,27.6808
1,128,29,27.8579
1,128,30,27.6357
1,128,31,27.6972
1,128,32,27.6439
